-1.6365	4.9095
-1.6365	11.4555
-1.6365	18.0015
-1.6365	24.5475
-1.6365	31.0935
-1.6365	37.6395
1.6365	1.6365
1.6365	8.1825
1.6365	14.7285
1.6365	21.2745
1.6365	27.8205
1.6365	34.3665
4.9095	4.9095
4.9095	11.4555
4.9095	18.0015
4.9095	24.5475
4.9095	31.0935
4.9095	37.6395
8.1825	1.6365
8.1825	8.1825
8.1825	14.7285
8.1825	21.2745
8.1825	27.8205
8.1825	34.3665
11.4555	4.9095
11.4555	11.4555
11.4555	18.0015
11.4555	24.5475
11.4555	31.0935
11.4555	37.6395
14.7285	1.6365
14.7285	8.1825
14.7285	14.7285
14.7285	21.2745
14.7285	27.8205
14.7285	34.3665
18.0015	4.9095
18.0015	11.4555
18.0015	18.0015
18.0015	24.5475
18.0015	31.0935
18.0015	37.6395
21.2745	1.6365
21.2745	8.1825
21.2745	14.7285
21.2745	21.2745
21.2745	27.8205
21.2745	34.3665
24.5475	4.9095
24.5475	11.4555
24.5475	18.0015
24.5475	24.5475
24.5475	31.0935
24.5475	37.6395
27.8205	1.6365
27.8205	8.1825
27.8205	14.7285
27.8205	21.2745
27.8205	27.8205
27.8205	34.3665
31.0935	4.9095
31.0935	11.4555
31.0935	18.0015
31.0935	24.5475
31.0935	31.0935
31.0935	37.6395
34.3665	1.6365
34.3665	8.1825
34.3665	14.7285
34.3665	21.2745
34.3665	27.8205
34.3665	34.3665
37.6395	4.9095
37.6395	11.4555
37.6395	18.0015
37.6395	24.5475
37.6395	31.0935
37.6395	37.6395
40.9125	1.6365
40.9125	8.1825
40.9125	14.7285
40.9125	21.2745
40.9125	27.8205
40.9125	34.3665
